eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
200.0,-1309.74490445,0.06106889247894287,2610,8200,1.5162231922149658,492000,66248.53125
200.0,-1329.4020631100002,0.30884021520614624,2610,8300,1.5188244581222534,498000,284.0578918457031
200.0,-1299.85796529,0.24397021532058716,2611,8400,1.5144176483154297,504000,69202.3828125
200.0,-1289.60779778,0.4557112455368042,2613,8500,1.5125939846038818,510000,198.21539306640625
200.0,-1236.08593704,0.10302430391311646,2614,8600,1.514652967453003,516000,71914.953125
200.0,-1225.84496576,0.16006404161453247,2614,8700,1.5150388479232788,522000,285.8483581542969
200.0,-1211.05125305,-0.011049032211303711,2613,8800,1.519385576248169,528000,71622.7421875
200.0,-1172.6566534300002,0.42310553789138794,2613,8900,1.5194170475006104,534000,131.51742553710938
200.0,-1210.73321766,0.17291468381881714,2612,9000,1.5231623649597168,540000,73578.03125
200.0,-1240.7525618500001,0.267708420753479,2611,9100,1.5227986574172974,546000,216.09915161132812
200.0,-1255.50248215,0.15778374671936035,2613,9200,1.5240684747695923,552000,76188.75
200.0,-1243.48936915,0.8036148995161057,2615,9300,1.5219390392303467,558000,255.7646484375
200.0,-1225.8946084400002,-0.011187314987182617,2615,9400,1.5241798162460327,564000,77896.3203125
200.0,-1242.6944138600002,0.24884033203125,2616,9500,1.5294674634933472,570000,231.52728271484375
200.0,-1283.4181462399997,0.15369462966918945,2616,9600,1.531930685043335,576000,78186.921875
200.0,-1280.35911053,0.1935734748840332,2616,9700,1.5382463932037354,582000,232.90223693847656
200.0,-1295.5762186299999,-0.59211266040802,2614,9800,1.5377519130706787,588000,78073.7265625
200.0,-1256.1128825800004,0.8526636958122253,2615,9900,1.536520004272461,594000,180.38685607910156
200.0,-1252.3087641999998,0.19371789693832397,2614,10000,1.5395653247833252,600000,83651.0
200.0,-1242.2141919,0.22695893049240112,2615,10100,1.5370638370513916,606000,151.51730346679688
200.0,-1206.1364959199998,-0.7423108816146851,2615,10200,1.5336216688156128,612000,80975.5390625
200.0,-1217.6030670999999,0.838484451174736,2617,10300,1.535730004310608,618000,154.7522735595703
200.0,-1235.37455392,-0.09535884857177734,2618,10400,1.5422191619873047,624000,85127.3671875
200.0,-1224.9529101700002,0.8112497180700302,2618,10500,1.544506311416626,630000,172.16624450683594
200.0,-1194.60009959,-0.0816187858581543,2619,10600,1.5458680391311646,636000,82275.3203125
200.0,-1214.50373735,0.8587135970592499,2619,10700,1.5427495241165161,642000,102.7595443725586
200.0,-1198.80248803,0.09960728883743286,2613,10800,1.5405465364456177,648000,89607.8984375
200.0,-1240.71961994,0.4680945873260498,2612,10900,1.5400810241699219,654000,230.59170532226562
200.0,-1246.97258457,0.16200828552246094,2611,11000,1.541178584098816,660000,90941.703125
200.0,-1253.8073230199998,0.47364377975463867,2615,11100,1.537956953048706,666000,222.62652587890625
200.0,-1231.73674412,0.17881900072097778,2618,11200,1.539522647857666,672000,93010.953125
200.0,-1204.80368335,0.1579751968383789,2619,11300,1.5378663539886475,678000,269.47808837890625
200.0,-1211.85968175,0.1161532998085022,2621,11400,1.5395281314849854,684000,88551.7109375
200.0,-1223.9421977400002,0.5413937270641327,2622,11500,1.5440696477890015,690000,83.85493469238281
200.0,-1239.52619684,0.3091047406196594,2623,11600,1.545291781425476,696000,98049.9453125
200.0,-1241.7302425000003,0.4581030607223511,2624,11700,1.5477014780044556,702000,192.86114501953125
200.0,-1277.71769443,0.11570996046066284,2624,11800,1.546087384223938,708000,98079.7109375
200.0,-1279.33619277,0.2429957389831543,2625,11900,1.546377420425415,714000,376.58758544921875
200.0,-1303.7589731100002,0.08041191101074219,2626,12000,1.5445897579193115,720000,99583.0234375
200.0,-1304.31074955,0.6981433629989624,2627,12100,1.5431581735610962,726000,154.31126403808594
200.0,-1294.7605169,0.12790542840957642,2627,12200,1.5436899662017822,732000,100839.28125
200.0,-1296.01644774,0.7994249165058136,2628,12300,1.544629454612732,738000,166.5836944580078
